source_file,sheet,source_column,raw_township,raw_state_region,canonical_township,canonical_state_region,match_type,confidence,row_count,status,notes
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THARYARWADDY,BAGO WEST,Thayarwady,Bago (West),Alias Match,97.0,37,OK,matched by current app township alias helper; multiple raw forms for same canonical: THARYARWADDY | Tharyarwaddy
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,DANUBYU,AYEYARWADDY,Danubyu,Ayeyarwady,Normalized Match,99.0,1,Township / State mismatch,capitalization/spaces/punctuation differ from canonical; normalized match but state mismatch or no canonical state match; raw state='AYEYARWADDY'; multiple raw forms for same canonical: DANUBYU | Danubyu
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,DEDAYE,AYEYARWADDY,Dedaye,Ayeyarwady,Normalized Match,99.0,5,Township / State mismatch,capitalization/spaces/punctuation differ from canonical; normalized match but state mismatch or no canonical state match; raw state='AYEYARWADDY'; multiple raw forms for same canonical: DEDAYE | Dedaye
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,ZALUN,AYEYARWADDY,Zalun,Ayeyarwady,Normalized Match,99.0,6,Township / State mismatch,capitalization/spaces/punctuation differ from canonical; normalized match but state mismatch or no canonical state match; raw state='AYEYARWADDY'; multiple raw forms for same canonical: ZALUN | Zalun
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,DAIK-U ,BAGO EAST,Daik-U,Bago (East),Normalized Match,99.0,2,OK,leading/trailing whitespace; capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: DAIK-U  | Daik U | Daik-U
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,KYAUKTAGA,BAGO EAST,Kyauktaga,Bago (East),Normalized Match,99.0,3,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: KYAUKTAGA | Kyauktaga
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,NYAUNGLEBIN,BAGO EAST,Nyaunglebin,Bago (East),Normalized Match,99.0,4,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: NYAUNGLEBIN | Nyaunglebin
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PHYU,BAGO EAST,Phyu,Bago (East),Normalized Match,99.0,3,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PHYU | Phyu
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TAUNGOO,BAGO EAST,Taungoo,Bago (East),Normalized Match,99.0,2,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: TAUNGOO | Taungoo
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,GYOBINGAUK,BAGO WEST,Gyobingauk,Bago (West),Normalized Match,99.0,11,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: GYOBINGAUK | Gyobingauk
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MINHLA,BAGO WEST,Minhla,Bago (West),Normalized Match,99.0,7,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MINHLA | Min Hla | MinHla | Minhla
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,NATTALIN,BAGO WEST,Nattalin,Bago (West),Normalized Match,99.0,25,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: NATTALIN | Nattalin | nattalin
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PADAUNG,BAGO WEST,Padaung,Bago (West),Normalized Match,99.0,2,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PADAUNG | Padaung
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PAUK KHAUNG,BAGO WEST,Paukkhaung,Bago (West),Normalized Match,98.0,3,OK,space/punctuation-insensitive match; multiple raw forms for same canonical: PAUK KHAUNG | Pauk Khaung | Paukkhaung | Phaukkhaung
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PAUNGDE,BAGO WEST,Paungde,Bago (West),Normalized Match,99.0,10,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PAUNGDE | Paungde | Paungde 
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,HLAINGBWE,KAYIN,Hlaingbwe,Kayin,Normalized Match,99.0,3,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: HLAINGBWE | HlaingBwe | Hlaingbwe
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,HPA-AN,KAYIN,Hpa-An,Kayin,Normalized Match,99.0,3,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: HPA-AN | Hpa An | Hpa-An | Hpa-An  | Hpa-an
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,KAWKAREIK,KAYIN,Kawkareik,Kayin,Normalized Match,99.0,1,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: KAWKAREIK | Kawkareik
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,AUNG LAN,MAGWAY,Aunglan,Magway,Normalized Match,98.0,1,OK,space/punctuation-insensitive match; multiple raw forms for same canonical: AUNG LAN | Aung Lan
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MAGWAY,MAGWAY,Magway,Magway,Normalized Match,99.0,1,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MAGWAY | Magway
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MINBU,MAGWAY,Minbu,Magway,Normalized Match,99.0,3,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MINBU | MinBu | Minbu
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MINHLA,MAGWAY,Minhla,Magway,Normalized Match,99.0,5,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MINHLA | Min Hla
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MYO THIT,MAGWAY,Myothit,Magway,Normalized Match,98.0,1,OK,space/punctuation-insensitive match
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,SALIN,MAGWAY,Salin,Magway,Normalized Match,99.0,1,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: SALIN | Sa Lin
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,SEIK PHYU,MAGWAY,Seikphyu,Magway,Normalized Match,98.0,1,OK,space/punctuation-insensitive match; multiple raw forms for same canonical: SEIK PHYU | Seikphyu
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TAUNGDWINGYI,MAGWAY,Taungdwingyi,Magway,Normalized Match,99.0,2,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: TAUNGDWINGYI | Taungdwingyi
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,KYAUKPADAUNG,MANDALAY,Kyaukpadaung,Mandalay,Normalized Match,99.0,1,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: KYAUKPADAUNG | Kyauk Pa Daung
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PYAWBWE,MANDALAY,Pyawbwe,Mandalay,Normalized Match,99.0,1,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PYAWBWE | Pyawbwe
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TATKON,MANDALAY,Tatkon,Nay Pyi Taw,Normalized Match,99.0,1,Township / State mismatch,capitalization/spaces/punctuation differ from canonical; normalized match but state mismatch or no canonical state match; raw state='MANDALAY'; multiple raw forms for same canonical: TATKON | Tatkon
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,BILIN,MON,Bilin,Mon,Normalized Match,99.0,12,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: BILIN | Bilin
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,CHAUNGZON,MON,Chaungzon,Mon,Normalized Match,99.0,3,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: CHAUNGZON | Chaungzon
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,KYAIKMARAW,MON,Kyaikmaraw,Mon,Normalized Match,99.0,2,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: KYAIKMARAW | Kyaikmaraw | Kyaikmaraw 
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MAWLAMYINE,MON,Mawlamyine,Mon,Normalized Match,99.0,2,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MAWLAMYINE | Mawlamyine
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MUDON,MON,Mudon,Mon,Normalized Match,99.0,12,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MUDON | Mudon
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PAUNG,MON,Paung,Mon,Normalized Match,99.0,8,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PAUNG | Paung | Paung 
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THANBYUZAYAT,MON,Thanbyuzayat,Mon,Normalized Match,99.0,6,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: THANBYUZAYAT | Thanbyuzayat
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THATON,MON,Thaton,Mon,Normalized Match,99.0,25,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: THATON | Thaton
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,YE,MON,Ye,Mon,Normalized Match,99.0,4,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: YE | YE  | Ye
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,YE ,MON,Ye,Mon,Normalized Match,99.0,1,OK,leading/trailing whitespace; capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: YE | YE  | Ye
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THATON,MON ,Thaton,Mon,Normalized Match,99.0,1,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: THATON | Thaton
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PIN LAUNG,SHAN,Pinlaung,Shan (South),Normalized Match,98.0,1,OK,space/punctuation-insensitive match; multiple raw forms for same canonical: PIN LAUNG | Pinlaung
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TAUNGGYI,SHAN,Taunggyi,Shan (South),Normalized Match,99.0,2,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: TAUNGGYI | Taung Gyi | Taunggyi
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,DAWEI,TANINTHARYI,Dawei,Tanintharyi,Normalized Match,99.0,1,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: DAWEI | Dawei
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,LAUNGLON,TANINTHARYI,Launglon,Tanintharyi,Normalized Match,99.0,3,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical:  Launglon | LAUNGLON | Launglon | Launglon 
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PALAW,TANINTHARYI,Palaw,Tanintharyi,Normalized Match,99.0,2,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PALAW | Palaw
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,YEBYU,TANINTHARYI,Yebyu,Tanintharyi,Normalized Match,99.0,1,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: YEBYU | Yebyu
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,HMAWBI,YANGON,Hmawbi,Yangon,Normalized Match,99.0,3,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: HMAWBI | Hmaw Bi | Hmawbi
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MAYANGONE,YANGON,Mayangone,Yangon,Normalized Match,99.0,3,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MAYANGONE | Mayangone
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,SAN CHAUNG,YANGON,Sanchaung,Yangon,Normalized Match,98.0,2,OK,space/punctuation-insensitive match; multiple raw forms for same canonical: SAN CHAUNG | San Chaung
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TAIKKYI,YANGON,Taikkyi,Yangon,Normalized Match,99.0,1,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: TAIKKYI | Taikkyi
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,,,,,Unmatched,0.0,1,Blank township,blank Township value
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,BOGALAE,AYEYARWADDY,,,Unmatched,92.3,1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bogale (Ayeyarwady)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,HTANTAPIN,BAGO EAST,,,Unmatched,88.9,2,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Htantabin (Bago (East))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,LATPADAN,BAGO WEST,,,Unmatched,87.5,6,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Letpadan (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MOE NYO,BAGO WEST,,,Unmatched,90.9,4,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Monyo (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,OAKPHO,BAGO WEST,,,Unmatched,90.9,14,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Okpho (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,SHWE TAUNG,BAGO WEST,,,Unmatched,88.9,2,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Shwedaung (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THAE KONE,BAGO WEST,,,Unmatched,71.4,6,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thegon (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THONZE,BAGO WEST,,,Unmatched,66.7,1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thegon (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TIKEKYI ,BAGO WEST,,,Unmatched,30.8,1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thegon (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,ZEE KONE,BAGO WEST,,,Unmatched,50.0,8,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Zigon (Bago (West))
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MYOE THIT,MAGWAY,,,Unmatched,93.3,2,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Myothit (Magway)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MYITTHAR,MANDALAY,,,Unmatched,93.3,1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Myittha (Mandalay)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,NAYPYITAW,MANDALAY,,,Unmatched,50.0,2,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Myittha (Mandalay)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,KYAIKHTO,MON,,,Unmatched,93.3,4,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyaikto (Mon)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,HLAINGTHARYAR,YANGON,,,Unmatched,82.8,2,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Hlaingtharya (East) (Yangon)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,HTANTAPIN,YANGON,,,Unmatched,88.9,1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Htantabin (Yangon)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,LANMATAW,YANGON,,,Unmatched,87.5,1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Lanmadaw (Yangon)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,OAKKAN,YANGON,,,Unmatched,57.1,1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyauktan (Yangon)
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TIKEKYI ,YANGON,,,Unmatched,85.7,7,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Taikkyi (Yangon)
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Tharyarwaddy,Bago,Thayarwady,Bago (West),Alias Match,97.0,1,Township / State mismatch,matched by current app township alias helper; state mismatch or no canonical state match; raw state='Bago'; multiple raw forms for same canonical: THARYARWADDY | Tharyarwaddy
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Tharyarwaddy,Bago West,Thayarwady,Bago (West),Alias Match,97.0,1,OK,matched by current app township alias helper; multiple raw forms for same canonical: THARYARWADDY | Tharyarwaddy
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Tharyarwaddy/ Oakkan,Bago,,,Ambiguous,0.0,4,Needs manual review,contains separator; multiple possible townships
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Minhla,Bago,Minhla,Bago (West),Exact Match,100.0,1,Township / State mismatch,exact township name but raw state 'Bago' differs from canonical 'Bago (West)'; multiple raw forms for same canonical: MINHLA | Min Hla | MinHla | Minhla
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Letpadan,Bago West,Letpadan,Bago (West),Exact Match,100.0,2,OK,
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Nattalin,Bago West,Nattalin,Bago (West),Exact Match,100.0,1,OK,multiple raw forms for same canonical: NATTALIN | Nattalin | nattalin
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Hpa-An,Kayin,Hpa-An,Kayin,Exact Match,100.0,10,OK,multiple raw forms for same canonical: HPA-AN | Hpa An | Hpa-An | Hpa-An  | Hpa-an
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Bilin,Mon,Bilin,Mon,Exact Match,100.0,4,OK,multiple raw forms for same canonical: BILIN | Bilin
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Paung,Mon,Paung,Mon,Exact Match,100.0,3,OK,multiple raw forms for same canonical: PAUNG | Paung | Paung 
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Bilin,Tue,Bilin,Mon,Exact Match,100.0,1,Township / State mismatch,exact township name but raw state 'Tue' differs from canonical 'Mon'; multiple raw forms for same canonical: BILIN | Bilin
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,HlaingBwe,Kayin,Hlaingbwe,Kayin,Normalized Match,99.0,1,OK,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: HLAINGBWE | HlaingBwe | Hlaingbwe
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,,,,,Unmatched,0.0,17,Blank township,blank Township value
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Gtopin Kouk,Bago West,,,Unmatched,60.0,1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Gyobingauk (Bago (West))
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Eaindu,Kayin,,,Unmatched,44.4,1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Thandaunggyi (Kayin)
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Kyeikmaraw,Mon,,,Unmatched,90.0,1,Needs alias or source correction,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Kyaikmaraw (Mon)
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Tharyarwaddy,BAGO WEST,Thayarwady,Bago (West),Alias Match,97.0,315,OK,matched by current app township alias helper; multiple raw forms for same canonical: THARYARWADDY | Tharyarwaddy
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Bogale,AYEYARWADDY,Bogale,Ayeyarwady,Exact Match,100.0,4,Township / State mismatch,exact township name but raw state 'AYEYARWADDY' differs from canonical 'Ayeyarwady'
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Danubyu,AYEYARWADDY,Danubyu,Ayeyarwady,Exact Match,100.0,5,Township / State mismatch,exact township name but raw state 'AYEYARWADDY' differs from canonical 'Ayeyarwady'; multiple raw forms for same canonical: DANUBYU | Danubyu
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Dedaye,AYEYARWADDY,Dedaye,Ayeyarwady,Exact Match,100.0,16,Township / State mismatch,exact township name but raw state 'AYEYARWADDY' differs from canonical 'Ayeyarwady'; multiple raw forms for same canonical: DEDAYE | Dedaye
